"RoadRunner Records","1633 Broadway New York, NY 10019"
"Strange Music","145 Le Summit, Missouri"
"Blackened Recordings","53 Jordan St, San Rafael, CA 94901"
"Tradcraft","2220 Colorado Ave. Santa Monica, CA 90404"
"Nuclear Blast","5741 Buckingham Parkway Unit C Culver City, CA 90230, USA"
"Metal Blade Records","5210 Lewis Rd # 2, Agoura Hills, CA 91301"
"Capitol Christian Music Group","101 Winners Cir N # 123, Brentwood, TN 37027"
"Atlantic Records","Paramount Plaza, 1633 Broadway, New York, NY 10019"
"BMG","1745 Broadway, 19th Floor, New York, NY 10019"
"Sony Music Entertainment","25 Madison Ave, New York, NY, 10010"
"Reprise Records","1290 Ave of the Americas, New York, NY 10104"
"Entertainment One Music","22 Harbor Park Drive Port, Washington, New York"
"Epic Records","550 Madison Ave, New York, NY 10022"
"The End Records","233 Broadway, New York, NY 10279"
"Loma Vista Recordings","100 North Crescent Drive, Garden Level, Beverly Hills, CA 90210"
"Undercover Prodigy","Panorama City, California"
"Victory Records","346 North Justine Street, 5th Floor, Chicago IL, 60607"
"Dead Silence","Los Angeles, California"
"Century Media Records","2323 El Segundo Blvd, Hawthorne, CA 90250"
"Tooth and Nails Records","Seattle, WA"
"Caroline Records","New York"
"Vagrant Records","5566 W Washington Blvd, Los Angeles, CA 90016"
"Independent","None"
"Vertigo Records","129 Division Ave S, Grand Rapids, MI 49503"
"Essential Records","741 Cool Springs Blvd, Franklin, TN 37067"
"Resist Records","294 King St, Newtown NSW 2042, Australia"
"Asylum Records","108 W Main St, Mesa, AZ 85201"
"Napalm Records","Eisenerz, Styria"
"Season of Mist","3565 Sepviva St, Philadelphia, PA 19134-2713"
"Sumerian Records","Washington, D.C. and Los Angeles, California"
"Loma Vista Recordings","100 North Crescent Drive, Garden Level, Beverly Hills, CA 90210"
"Undercover Prodigy","Panorama City, California"
"Victory Records","346 North Justine Street, 5th Floor, Chicago IL, 60607"
"Dead Silence","Los Angeles, California"
"Century Media Records","2323 El Segundo Blvd, Hawthorne, CA 90250"
"Tooth and Nails Records","Seattle, WA"
"Caroline Records","New York"
"Vagrant Records","5566 W Washington Blvd, Los Angeles, CA 90016"
"Independent","None"
"Vertigo Records","129 Division Ave S, Grand Rapids, MI 49503"
"Essential Records","741 Cool Springs Blvd, Franklin, TN 37067"
"Resist Records","294 King St, Newtown NSW 2042, Australia"
"Asylum Records","108 W Main St, Mesa, AZ 85201"
"Napalm Records","Eisenerz, Styria"
"Season of Mist","3565 Sepviva St, Philadelphia, PA 19134-2713"
"Sumerian Records","Washington, D.C. and Los Angeles, California"
